No,Stockcode,Description,Quantite,PU,Ville,date,heure,month,dow,PT,Continent,clusters
568716,22653,BUTTON BOX ,1,1.63,United Kingdom,2011-09-28,16,9,2,1.63,Europe,2
569202,85099B,JUMBO BAG RED RETROSPOT,1,4.13,United Kingdom,2011-09-30,17,9,4,4.13,Europe,0
562584,47590A,BLUE HAPPY BIRTHDAY BUNTING,2,5.45,United Kingdom,2011-08-07,14,8,6,10.9,Europe,3
556259,22556,PLASTERS IN TIN CIRCUS PARADE ,12,1.65,France,2011-06-09,17,6,3,19.799999999999997,Europe,3
569496,22726,ALARM CLOCK BAKELIKE GREEN,4,3.75,Belgium,2011-10-04,13,10,1,15.0,Europe,2
555923,23139,SINGLE WIRE HOOK PINK HEART,2,3.29,United Kingdom,2011-06-07,17,6,1,6.58,Europe,1
569026,23201,JUMBO BAG ALPHABET,10,2.08,United Kingdom,2011-09-30,10,9,4,20.8,Europe,0
561632,22983,CARD BILLBOARD FONT,24,0.42,United Kingdom,2011-07-28,14,7,3,10.08,Europe,3
540471,48138,DOORMAT UNION FLAG,4,7.95,United Kingdom,2011-01-07,14,1,4,31.8,Europe,1
544195,22741,FUNKY DIVA PEN,48,0.85,United Kingdom,2011-02-17,8,2,3,40.8,Europe,1
539252,22647,CERAMIC LOVE HEART MONEY BANK,36,0.42,United Kingdom,2010-12-16,14,12,3,15.12,Europe,0
544684,22671,FRENCH LAUNDRY SIGN BLUE METAL,1,3.29,United Kingdom,2011-02-22,16,2,1,3.29,Europe,1
544790,22420,LIPSTICK PEN BABY PINK,6,0.42,United Kingdom,2011-02-23,12,2,2,2.52,Europe,1
561933,22670,FRENCH WC SIGN BLUE METAL,12,1.25,United Kingdom,2011-08-01,12,8,0,15.0,Europe,2
543037,20652,BLUE POLKADOT LUGGAGE TAG ,12,1.25,Norway,2011-02-02,16,2,2,15.0,Europe,1
538508,22837,HOT WATER BOTTLE BABUSHKA ,6,4.65,United Kingdom,2010-12-12,13,12,6,27.900000000000002,Europe,3
566163,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2.95,France,2011-09-09,11,9,4,17.700000000000003,Europe,0
577059,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,United Kingdom,2011-11-17,14,11,3,14.850000000000001,Europe,0
545688,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,7.9,United Kingdom,2011-03-06,12,3,6,15.8,Europe,3
571671,23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,10,0.79,United Kingdom,2011-10-18,13,10,1,7.9,Europe,2
559163,84596F,SMALL MARSHMALLOWS PINK BOWL,1,0.83,United Kingdom,2011-07-06,16,7,2,0.83,Europe,2
555108,23140,TRIPLE WIRE HOOK IVORY HEART,12,4.15,United Kingdom,2011-05-31,14,5,1,49.800000000000004,Europe,1
558731,22899,CHILDREN'S APRON DOLLY GIRL ,6,2.1,United Kingdom,2011-07-01,14,7,4,12.600000000000001,Europe,3
546107,22650,CERAMIC PIRATE CHEST MONEY BANK,1,1.45,United Kingdom,2011-03-09,12,3,2,1.45,Europe,1
561794,21240,BLUE POLKADOT CUP,8,0.85,United Kingdom,2011-07-29,13,7,4,6.8,Europe,3
540350,22384,LUNCH BAG PINK POLKADOT,1,1.65,United Kingdom,2011-01-06,14,1,3,1.65,Europe,1
552681,48194,DOORMAT HEARTS,1,14.13,United Kingdom,2011-05-10,15,5,1,14.13,Europe,1
577314,23425,STORAGE TIN HOME SWEET HOME,6,2.49,Norway,2011-11-18,13,11,4,14.940000000000001,Europe,0
562955,22999,TRAVEL CARD WALLET VINTAGE LEAF,1,0.83,United Kingdom,2011-08-11,10,8,3,0.83,Europe,0
576779,22572,ROCKING HORSE GREEN CHRISTMAS ,7,0.85,United Kingdom,2011-11-16,13,11,2,5.95,Europe,2
549560,21658,GLASS  BEURRE DISH,1,3.95,United Kingdom,2011-04-10,13,4,6,3.95,Europe,3
550332,22084,PAPER CHAIN KIT EMPIRE,2,2.95,United Kingdom,2011-04-17,13,4,6,5.9,Europe,3
536544,70007,HI TEC ALPINE HAND WARMER,5,3.36,United Kingdom,2010-12-01,14,12,2,16.8,Europe,2
554490,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,4.95,United Kingdom,2011-05-24,13,5,1,14.850000000000001,Europe,1
573576,21222,SET/4 BADGES BEETLES,1,2.46,United Kingdom,2011-10-31,14,10,0,2.46,Europe,2
544064,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2.55,United Kingdom,2011-02-15,13,2,1,2.55,Europe,1
571846,22386,JUMBO BAG PINK POLKADOT,2,2.08,United Kingdom,2011-10-19,12,10,2,4.16,Europe,2
554088,85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,6,4.25,United Kingdom,2011-05-22,12,5,6,25.5,Europe,3
537399,20658,RED RETROSPOT LUGGAGE TAG,1,1.25,United Kingdom,2010-12-06,14,12,0,1.25,Europe,2
542929,20711,JUMBO BAG TOYS ,10,1.95,United Kingdom,2011-02-02,10,2,2,19.5,Europe,1
537758,22568,FELTCRAFT CUSHION OWL,4,3.75,United Kingdom,2010-12-08,11,12,2,15.0,Europe,2
545503,20728,LUNCH BAG CARS BLUE,2,1.65,United Kingdom,2011-03-03,11,3,3,3.3,Europe,1
550837,22355,CHARLOTTE BAG SUKI DESIGN,10,0.85,United Kingdom,2011-04-21,11,4,3,8.5,Europe,1
570690,23355,HOT WATER BOTTLE KEEP CALM,6,4.95,United Kingdom,2011-10-11,16,10,1,29.700000000000003,Europe,2
579196,20985,HEART CALCULATOR,1,2.46,United Kingdom,2011-11-28,15,11,0,2.46,Europe,2
579196,21731,RED TOADSTOOL LED NIGHT LIGHT,7,3.29,United Kingdom,2011-11-28,15,11,0,23.03,Europe,2
578024,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,8.5,Germany,2011-11-22,13,11,1,17.0,Europe,2
574529,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,6,1.25,United Kingdom,2011-11-04,14,11,4,7.5,Europe,0
579456,21733,RED HANGING HEART T-LIGHT HOLDER,1,2.95,United Kingdom,2011-11-29,14,11,1,2.95,Europe,2
580305,23489,VINTAGE BELLS GARLAND,1,2.89,United Kingdom,2011-12-02,14,12,4,2.89,Europe,0
576062,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.95,United Kingdom,2011-11-13,15,11,6,17.700000000000003,Europe,3
562114,20723,STRAWBERRY CHARLOTTE BAG,2,1.63,United Kingdom,2011-08-02,16,8,1,3.26,Europe,2
559606,21211,SET OF 72 SKULL PAPER  DOILIES,1,1.45,United Kingdom,2011-07-11,11,7,0,1.45,Europe,2
545630,21042,RED RETROSPOT APRON ,9,5.95,United Kingdom,2011-03-04,12,3,4,53.550000000000004,Europe,3
581217,23422,PANTRY HOOK BALLOON WHISK ,1,4.13,United Kingdom,2011-12-08,9,12,3,4.13,Europe,0
557466,23209,LUNCH BAG DOILEY PATTERN ,10,1.65,Germany,2011-06-20,13,6,0,16.5,Europe,1
571444,22950,36 DOILIES VINTAGE CHRISTMAS,12,1.45,United Kingdom,2011-10-17,13,10,0,17.4,Europe,2
577812,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,United Kingdom,2011-11-22,8,11,1,14.850000000000001,Europe,2
575767,23010,CIRCUS PARADE BABY GIFT SET,1,16.95,United Kingdom,2011-11-11,11,11,4,16.95,Europe,0
555545,21937,STRAWBERRY   PICNIC BAG,5,2.95,United Kingdom,2011-06-05,13,6,6,14.75,Europe,3
544930,22294,HEART FILIGREE DOVE  SMALL,2,1.25,United Kingdom,2011-02-24,18,2,3,2.5,Europe,1
568147,22632,HAND WARMER RED RETROSPOT,4,2.1,United Kingdom,2011-09-25,11,9,6,8.4,Europe,3
577057,23081,GREEN METAL BOX ARMY SUPPLIES,1,8.25,United Kingdom,2011-11-17,14,11,3,8.25,Europe,0
559798,84818,DANISH ROSE PHOTO FRAME,24,0.79,Germany,2011-07-12,13,7,1,18.96,Europe,2
540832,20685,DOORMAT RED RETROSPOT,1,16.63,United Kingdom,2011-01-11,14,1,1,16.63,Europe,1
552253,22384,LUNCH BAG PINK POLKADOT,10,1.65,United Kingdom,2011-05-08,10,5,6,16.5,Europe,3
577321,21811,HANGING HEART WITH BELL,140,0.39,United Kingdom,2011-11-18,13,11,4,54.6,Europe,0
539243,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,1,12.75,United Kingdom,2010-12-16,13,12,3,12.75,Europe,0
579093,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,3.75,United Kingdom,2011-11-28,10,11,0,90.0,Europe,2
548194,22766,PHOTO FRAME CORNICE,1,5.79,United Kingdom,2011-03-29,15,3,1,5.79,Europe,1
568135,21877,HOME SWEET HOME MUG,1,3.29,United Kingdom,2011-09-23,17,9,4,3.29,Europe,0
560434,21581,SKULLS  DESIGN  COTTON TOTE BAG,1,1.63,United Kingdom,2011-07-18,15,7,0,1.63,Europe,2
543277,20754,RETROSPOT RED WASHING UP GLOVES,3,2.1,United Kingdom,2011-02-06,14,2,6,6.300000000000001,Europe,3
569683,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.95,United Kingdom,2011-10-05,14,10,2,17.700000000000003,Europe,2
581439,21786,POLKADOT RAIN HAT ,1,0.83,United Kingdom,2011-12-08,16,12,3,0.83,Europe,0
540471,22064,PINK DOUGHNUT TRINKET POT ,12,1.65,United Kingdom,2011-01-07,14,1,4,19.799999999999997,Europe,1
574660,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,1.65,United Kingdom,2011-11-06,11,11,6,1.65,Europe,3
571293,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,United Kingdom,2011-10-16,15,10,6,12.75,Europe,3
545321,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,United Kingdom,2011-03-01,14,3,1,27.04,Europe,1
581492,20668,DISCO BALL CHRISTMAS DECORATION,1,0.42,United Kingdom,2011-12-09,10,12,4,0.42,Europe,0
580956,22132,RED LOVE HEART SHAPE CUP,1,0.85,United Kingdom,2011-12-06,14,12,1,0.85,Europe,2
553751,85230G,ORANGE VOTIVE CANDLE,24,0.29,United Kingdom,2011-05-19,10,5,3,6.959999999999999,Europe,1
558057,22113,GREY HEART HOT WATER BOTTLE,5,3.75,United Kingdom,2011-06-24,14,6,4,18.75,Europe,3
540848,22035,VINTAGE CARAVAN GREETING CARD ,1,0.85,United Kingdom,2011-01-12,9,1,2,0.85,Europe,1
575751,23076,ICE CREAM SUNDAE LIP GLOSS,24,1.25,EIRE,2011-11-11,10,11,4,30.0,Europe,0
557858,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,1.45,United Kingdom,2011-06-23,11,6,3,2.9,Europe,3
572326,22356,CHARLOTTE BAG PINK POLKADOT,100,0.72,United Kingdom,2011-10-24,9,10,0,72.0,Europe,2
543000,85099B,JUMBO BAG RED RETROSPOT,1,4.13,United Kingdom,2011-02-02,12,2,2,4.13,Europe,1
561601,23345, DOLLY GIRL BEAKER,12,1.25,United Kingdom,2011-07-28,11,7,3,15.0,Europe,3
542351,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,0.85,United Kingdom,2011-01-27,12,1,3,10.2,Europe,1
579873,35819B,check,18,0.0,United Kingdom,2011-11-30,17,11,2,0.0,Europe,2
574959,23174,REGENCY SUGAR BOWL GREEN,2,4.15,United Kingdom,2011-11-08,10,11,1,8.3,Europe,2
540238,22222,CAKE PLATE LOVEBIRD WHITE,1,4.21,United Kingdom,2011-01-05,14,1,2,4.21,Europe,1
554999,22413,METAL SIGN TAKE IT OR LEAVE IT ,2,2.95,United Kingdom,2011-05-29,15,5,6,5.9,Europe,3
576052,22488,NATURAL SLATE RECTANGLE CHALKBOARD,3,1.65,United Kingdom,2011-11-13,14,11,6,4.949999999999999,Europe,3
C541415,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,7.95,United Kingdom,2011-01-17,16,1,0,-7.95,Europe,1
554310,22699,ROSES REGENCY TEACUP AND SAUCER ,3,5.79,United Kingdom,2011-05-23,15,5,0,17.37,Europe,1
537624,22535,MAGIC DRAWING SLATE BUNNIES ,2,0.42,United Kingdom,2010-12-07,14,12,1,0.84,Europe,2
548176,84715,SET OF 6 ICE CREAM SKITTLES,4,2.95,United Kingdom,2011-03-29,14,3,1,11.8,Europe,1
577842,23355,HOT WATER BOTTLE KEEP CALM,16,4.95,United Kingdom,2011-11-22,10,11,1,79.2,Europe,2
574950,22440,BALLOON WATER BOMB PACK OF 35,1,0.83,United Kingdom,2011-11-08,9,11,1,0.83,Europe,2
558614,21329,DINOSAURS  WRITING SET ,8,0.83,United Kingdom,2011-06-30,15,6,3,6.64,Europe,3
567183,17084N,FAIRY DREAMS INCENSE ,75,0.21,United Kingdom,2011-09-18,15,9,6,15.75,Europe,3
546157,22180,RETROSPOT LAMP,2,9.95,United Kingdom,2011-03-10,8,3,3,19.9,Europe,1
537237,20975,12 PENCILS SMALL TUBE RED RETROSPOT,7,1.28,United Kingdom,2010-12-06,9,12,0,8.96,Europe,2
568659,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,United Kingdom,2011-09-28,12,9,2,15.0,Europe,2
543828,20828,GLITTER BUTTERFLY CLIPS,12,2.55,EIRE,2011-02-14,9,2,0,30.599999999999998,Europe,1
569481,23536,VILLAGE SHOW WALL ART,4,5.95,United Kingdom,2011-10-04,12,10,1,23.8,Europe,2
564857,21557,SET OF 6 FUNKY BEAKERS,4,5.63,United Kingdom,2011-08-31,9,8,2,22.52,Europe,2
568686,21977,PACK OF 60 PINK PAISLEY CAKE CASES,6,0.55,United Kingdom,2011-09-28,14,9,2,3.3000000000000003,Europe,2
560868,15034,PAPER POCKET TRAVELING FAN ,1,0.14,United Kingdom,2011-07-21,14,7,3,0.14,Europe,3
551739,84789,ENCHANTED BIRD PLANT CAGE,2,3.75,United Kingdom,2011-05-04,10,5,2,7.5,Europe,1
538855,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,United Kingdom,2010-12-14,13,12,1,15.299999999999999,Europe,2
540060,48187,DOORMAT NEW ENGLAND,2,7.95,United Kingdom,2011-01-04,14,1,1,15.9,Europe,1
559052,37327,ASSTD MULTICOLOUR CIRCLES MUG,18,0.97,United Kingdom,2011-07-05,16,7,1,17.46,Europe,2
578153,16236,KITTY PENCIL ERASERS,1,0.21,United Kingdom,2011-11-23,11,11,2,0.21,Europe,2
563845,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,0.55,United Kingdom,2011-08-19,14,8,4,13.200000000000001,Europe,3
559693,22333,RETROSPOT PARTY BAG + STICKER SET,1,3.29,United Kingdom,2011-07-11,16,7,0,3.29,Europe,2
566781,35970,ZINC FOLKART SLEIGH BELLS,12,1.69,United Kingdom,2011-09-15,10,9,3,20.28,Europe,0
562437,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,4.15,United Kingdom,2011-08-04,17,8,3,24.900000000000002,Europe,0
568208,23319,BOX OF 6 MINI 50'S CRACKERS,6,2.49,Portugal,2011-09-25,15,9,6,14.940000000000001,Europe,3
579777,21471,STRAWBERRY RAFFIA FOOD COVER,1,3.29,United Kingdom,2011-11-30,15,11,2,3.29,Europe,2
573585,23522,WALL ART DOG AND BALL ,1,5.79,United Kingdom,2011-10-31,14,10,0,5.79,Europe,2
566557,23035,DRAWER KNOB CERAMIC IVORY,96,1.25,Netherlands,2011-09-13,11,9,1,120.0,Europe,2
563730,71459,HANGING JAM JAR T-LIGHT HOLDER,12,0.85,United Kingdom,2011-08-18,17,8,3,10.2,Europe,0
538896,21884,CAKES AND BOWS GIFT  TAPE,24,0.19,United Kingdom,2010-12-15,9,12,2,4.5600000000000005,Europe,2
541684,20713,JUMBO BAG OWLS,10,1.95,United Kingdom,2011-01-20,15,1,3,19.5,Europe,1
549553,22398,MAGNETS PACK OF 4 SWALLOWS,2,1.25,United Kingdom,2011-04-10,12,4,6,2.5,Europe,3
577742,20961,STRAWBERRY BATH SPONGE ,1,1.25,United Kingdom,2011-11-21,13,11,0,1.25,Europe,2
568882,23399,HOME SWEET HOME HANGING HEART,12,0.85,United Kingdom,2011-09-29,12,9,3,10.2,Europe,0
567809,23296,SET OF 6 TEA TIME BAKING CASES,8,1.25,United Kingdom,2011-09-22,12,9,3,10.0,Europe,0
550351,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.55,United Kingdom,2011-04-18,10,4,0,15.299999999999999,Europe,1
570593,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,48,0.29,United Kingdom,2011-10-11,11,10,1,13.919999999999998,Europe,2
571717,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3,2.55,United Kingdom,2011-10-18,17,10,1,7.6499999999999995,Europe,2
560549,22488,NATURAL SLATE RECTANGLE CHALKBOARD,12,1.65,Finland,2011-07-19,12,7,1,19.799999999999997,Europe,2
581146,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,0.42,United Kingdom,2011-12-07,13,12,2,10.08,Europe,2
549728,22498,WOODEN REGATTA BUNTING,2,5.95,United Kingdom,2011-04-11,16,4,0,11.9,Europe,1
543989,22029,SPACEBOY BIRTHDAY CARD,144,0.36,Australia,2011-02-15,9,2,1,51.839999999999996,Oceania,1
550953,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,1.25,United Kingdom,2011-04-21,16,4,3,1.25,Europe,1
537796,48138,DOORMAT UNION FLAG,6,7.95,United Kingdom,2010-12-08,13,12,2,47.7,Europe,2
564974,16048,TEATIME ROUND PENCIL SHARPENER ,1,0.83,United Kingdom,2011-08-31,15,8,2,0.83,Europe,2
571909,22652,TRAVEL SEWING KIT,2,1.65,United Kingdom,2011-10-19,15,10,2,3.3,Europe,2
537224,21913,VINTAGE SEASIDE JIGSAW PUZZLES,2,3.75,United Kingdom,2010-12-05,16,12,6,7.5,Europe,3
548516,48188,DOORMAT WELCOME PUPPIES,1,15.79,United Kingdom,2011-03-31,16,3,3,15.79,Europe,1
541104,21849,SILVER DIAMANTE PEN IN GIFT BOX,2,1.63,United Kingdom,2011-01-13,14,1,3,3.26,Europe,1
542998,79321,CHILLI LIGHTS,1,10.79,United Kingdom,2011-02-02,12,2,2,10.79,Europe,1
548522,85176,SEWING SUSAN 21 NEEDLE SET,2,1.63,United Kingdom,2011-03-31,16,3,3,3.26,Europe,1
536864,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,8.47,United Kingdom,2010-12-03,11,12,4,8.47,Europe,0
573420,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2.89,United Kingdom,2011-10-31,9,10,0,17.34,Europe,2
580729,23497,CLASSIC CHROME BICYCLE BELL ,4,3.29,United Kingdom,2011-12-05,17,12,0,13.16,Europe,2
546984,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,2,1.25,United Kingdom,2011-03-18,12,3,4,2.5,Europe,3
552493,21718,RED METAL BEACH SPADE ,1,2.46,United Kingdom,2011-05-09,16,5,0,2.46,Europe,1
565617,21731,RED TOADSTOOL LED NIGHT LIGHT,1,3.29,United Kingdom,2011-09-05,15,9,0,3.29,Europe,2
562717,18094C,WHITE AND BLUE CERAMIC OIL BURNER,2,2.46,United Kingdom,2011-08-08,15,8,0,4.92,Europe,2
563262,48173C,DOORMAT BLACK FLOCK ,1,7.95,United Kingdom,2011-08-15,12,8,0,7.95,Europe,2
557938,22210,WOOD STAMP SET BEST WISHES,2,3.29,United Kingdom,2011-06-23,15,6,3,6.58,Europe,3
566789,23269,SET OF 2 CERAMIC CHRISTMAS TREES,12,1.45,United Kingdom,2011-09-15,10,9,3,17.4,Europe,0
571841,22470,HEART OF WICKER LARGE,1,2.95,United Kingdom,2011-10-19,12,10,2,2.95,Europe,2
550899,22090,PAPER BUNTING RETROSPOT,6,2.95,Switzerland,2011-04-21,12,4,3,17.700000000000003,Europe,1
574963,22470,HEART OF WICKER LARGE,6,2.95,United Kingdom,2011-11-08,10,11,1,17.700000000000003,Europe,2
549570,84912A,PINK ROSE WASHBAG,2,3.75,United Kingdom,2011-04-10,15,4,6,7.5,Europe,3
551811,21181,PLEASE ONE PERSON METAL SIGN,1,2.1,United Kingdom,2011-05-04,11,5,2,2.1,Europe,1
555510,23100,SILVER BELLS TABLE DECORATION,1,2.46,United Kingdom,2011-06-03,17,6,4,2.46,Europe,3
569544,22074,6 RIBBONS SHIMMERING PINKS ,1,1.25,United Kingdom,2011-10-04,16,10,1,1.25,Europe,2
572552,22582,PACK OF 6 SWEETIE GIFT BOXES,1,4.96,United Kingdom,2011-10-24,17,10,0,4.96,Europe,2
556474,47566,PARTY BUNTING,6,4.95,United Kingdom,2011-06-12,12,6,6,29.700000000000003,Europe,3
558774,85131A,BEADED PEARL HEART WHITE ON STICK,1,0.83,United Kingdom,2011-07-04,10,7,0,0.83,Europe,2
562553,90214M,"LETTER ""M"" BLING KEY RING",1,0.83,United Kingdom,2011-08-05,16,8,4,0.83,Europe,3
573116,23131,MISTLETOE HEART WREATH CREAM,2,4.15,United Kingdom,2011-10-27,15,10,3,8.3,Europe,0
576052,23318,BOX OF 6 MINI VINTAGE CRACKERS,2,2.49,United Kingdom,2011-11-13,14,11,6,4.98,Europe,3
542401,21039,RED RETROSPOT SHOPPING BAG,1,2.55,United Kingdom,2011-01-27,15,1,3,2.55,Europe,1
569207,47566B,TEA TIME PARTY BUNTING,2,4.95,United Kingdom,2011-10-02,11,10,6,9.9,Europe,3
536864,21181,PLEASE ONE PERSON METAL SIGN,1,4.21,United Kingdom,2010-12-03,11,12,4,4.21,Europe,0
548730,21936,RED RETROSPOT PICNIC BAG,5,2.95,United Kingdom,2011-04-04,10,4,0,14.75,Europe,1
562219,23173,REGENCY TEAPOT ROSES ,2,9.95,United Kingdom,2011-08-03,14,8,2,19.9,Europe,2
568099,22784,LANTERN CREAM GAZEBO ,3,4.95,United Kingdom,2011-09-23,15,9,4,14.850000000000001,Europe,0
569898,22364,GLASS JAR DIGESTIVE BISCUITS,3,5.79,United Kingdom,2011-10-06,16,10,3,17.37,Europe,0
566730,22571,ROCKING HORSE RED CHRISTMAS ,1,0.85,United Kingdom,2011-09-14,13,9,2,0.85,Europe,2
572281,21955,DOORMAT UNION JACK GUNS AND ROSES,2,8.25,United Kingdom,2011-10-23,11,10,6,16.5,Europe,3
568191,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,2,4.95,United Kingdom,2011-09-25,14,9,6,9.9,Europe,3
541279,22813,PACK 3 BOXES BIRD PANNETONE ,12,1.95,United Kingdom,2011-01-17,11,1,0,23.4,Europe,1
539831,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,1,0.65,United Kingdom,2010-12-22,13,12,2,0.65,Europe,2
562934,22383,LUNCH BAG SUKI DESIGN ,4,4.13,United Kingdom,2011-08-10,16,8,2,16.52,Europe,2
551891,22893,MINI CAKE STAND T-LIGHT HOLDER,24,0.42,United Kingdom,2011-05-05,9,5,3,10.08,Europe,1
547651,22287,"DECORATION , WOBBLY CHICKEN, METAL ",1,1.65,United Kingdom,2011-03-24,12,3,3,1.65,Europe,1
573910,22629,SPACEBOY LUNCH BOX ,12,1.95,United Kingdom,2011-11-01,15,11,1,23.4,Europe,2
570871,82583,HOT BATHS METAL SIGN,2,4.13,United Kingdom,2011-10-12,16,10,2,8.26,Europe,2
559673,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,1.25,United Kingdom,2011-07-11,14,7,0,15.0,Europe,2
574561,21719,LOVELY BONBON STICKER SHEET,1,1.63,United Kingdom,2011-11-04,15,11,4,1.63,Europe,0
571281,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,20,3.39,United Kingdom,2011-10-16,13,10,6,67.8,Europe,3
545221,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,United Kingdom,2011-03-01,8,3,1,17.4,Europe,1
565224,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,3,2.55,United Kingdom,2011-09-01,19,9,3,7.6499999999999995,Europe,0
574555,23265,SET OF 3 WOODEN TREE DECORATIONS,1,1.25,United Kingdom,2011-11-04,15,11,4,1.25,Europe,0
578781,23126,FELTCRAFT GIRL AMELIE KIT,1,4.95,United Kingdom,2011-11-25,11,11,4,4.95,Europe,0
560845,23284,DOORMAT KEEP CALM AND COME IN,2,7.95,United Kingdom,2011-07-21,12,7,3,15.9,Europe,3
564817,84949,SILVER HANGING T-LIGHT HOLDER,3,3.29,United Kingdom,2011-08-30,12,8,1,9.870000000000001,Europe,2
556237,22741,FUNKY DIVA PEN,1,1.63,United Kingdom,2011-06-09,15,6,3,1.63,Europe,3
557324,21982,PACK OF 12 SUKI TISSUES ,5,0.83,United Kingdom,2011-06-20,9,6,0,4.1499999999999995,Europe,1
565396,47480,HANGING PHOTO CLIP ROPE LADDER,1,3.29,United Kingdom,2011-09-02,16,9,4,3.29,Europe,0
570100,22470,HEART OF WICKER LARGE,6,2.95,United Kingdom,2011-10-07,12,10,4,17.700000000000003,Europe,0
568144,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,0.19,United Kingdom,2011-09-25,11,9,6,4.5600000000000005,Europe,3
575389,22580,ADVENT CALENDAR GINGHAM SACK,3,5.95,United Kingdom,2011-11-09,15,11,2,17.85,Europe,2
575979,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,0.29,United Kingdom,2011-11-13,13,11,6,6.959999999999999,Europe,3
558235,21932,SCANDINAVIAN PAISLEY PICNIC BAG,2,1.65,United Kingdom,2011-06-27,14,6,0,3.3,Europe,1
568204,22715,CARD WEDDING DAY,12,0.42,United Kingdom,2011-09-25,15,9,6,5.04,Europe,3
577613,21577,SAVE THE PLANET COTTON TOTE BAG,6,2.25,EIRE,2011-11-21,10,11,0,13.5,Europe,2
546875,20749,ASSORTED COLOUR MINI CASES,2,7.95,Italy,2011-03-17,16,3,3,15.9,Europe,1
537396,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,1.65,United Kingdom,2010-12-06,14,12,0,1.65,Europe,2
540798,22561,WOODEN SCHOOL COLOURING SET,12,1.65,United Kingdom,2011-01-11,12,1,1,19.799999999999997,Europe,1
550655,22728,ALARM CLOCK BAKELIKE PINK,1,3.75,United Kingdom,2011-04-19,17,4,1,3.75,Europe,1
570273,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,4.25,United Kingdom,2011-10-10,10,10,0,17.0,Europe,2
539436,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1,7.62,United Kingdom,2010-12-17,14,12,4,7.62,Europe,0
548558,21992,VINTAGE PAISLEY STATIONERY SET,6,2.95,United Kingdom,2011-04-01,10,4,4,17.700000000000003,Europe,3
539436,22120,WELCOME  WOODEN BLOCK LETTERS,1,20.38,United Kingdom,2010-12-17,14,12,4,20.38,Europe,0
567612,22144,CHRISTMAS CRAFT LITTLE FRIENDS,6,2.1,United Kingdom,2011-09-21,11,9,2,12.600000000000001,Europe,2
569544,21314,SMALL GLASS HEART TRINKET POT,2,4.13,United Kingdom,2011-10-04,16,10,1,8.26,Europe,2
578667,23508,MINI PLAYING CARDS DOLLY GIRL ,3,0.42,United Kingdom,2011-11-24,17,11,3,1.26,Europe,0
581023,22998,TRAVEL CARD WALLET KEEP CALM,3,0.83,United Kingdom,2011-12-07,10,12,2,2.4899999999999998,Europe,2
566582,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,1.95,United Kingdom,2011-09-13,13,9,1,15.6,Europe,2
567385,21906,PHARMACIE FIRST AID TIN,64,5.95,United Kingdom,2011-09-20,10,9,1,380.8,Europe,3
545994,20724,RED RETROSPOT CHARLOTTE BAG,10,0.85,Germany,2011-03-08,13,3,1,8.5,Europe,1
